Name	Type	Category	Power	Acc	PP	Effect
Extreme Speed	Normal	Physical	80	100%	8	The user charges the target at blinding speed. This move always goes first.
Shadow Ball	Ghost	Special	80	100%	16	The user hurls a shadowy blob at the target. This may also lower the target’s Sp. Def stat.
Dive	Water	Physical	80	100%	10	The user dives on the first turn, then floats up and attacks on the next turn.
Extrasensory	Psychic	Special	80	100%	20	The user attacks with an odd, unseeable power. This may also make the target flinch.
Dragon Claw	Dragon	Physical	80	100%	16	The user slashes the target with huge sharp claws.
Aura Sphere	Fighting	Special	80	—	20	The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.
Poison Jab	Poison	Physical	80	100%	20	The target is stabbed with a tentacle, arm, or the like steeped in poison. This may also poison the target.
Dark Pulse	Dark	Special	80	100%	16	The user releases a horrible aura imbued with dark thoughts. This may also make the target flinch.
Seed Bomb	Grass	Physical	80	100%	16	The user slams a barrage of hard-shelled seeds down on the target from above.
X-Scissor	Bug	Physical	80	100%	16	The user slashes at the target by crossing its scythes or claws as if they were a pair of scissors.
Power Gem	Rock	Special	80	100%	20	The user attacks with a ray of light that sparkles as if it were made of gemstones.
Zen Headbutt	Psychic	Physical	80	90%	16	The user focuses its willpower to its head and attacks the target. This may also make the target flinch.
Flash Cannon	Steel	Special	80	100%	12	The user gathers all its light energy and releases it all at once. This may also lower the target’s Sp. Def stat.
Discharge	Electric	Special	80	100%	16	The user strikes everything around it by letting loose a flare of electricity. This may also cause paralysis.
Lava Plume	Fire	Special	80	100%	15	The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.
Iron Head	Steel	Physical	80	100%	16	The user slams the target with its steel-hard head. This may also make the target flinch.
Psyshock	Psychic	Special	80	100%	12	The user materializes an odd psychic wave to attack the target. This attack does physical damage.
Scald	Water	Special	80	100%	16	The user shoots boiling hot water at its target. This may also leave the target with a burn.
Water Pledge	Water	Special	80	100%	10	A column of water hits the target. When used with its fire counterpart, this move's power is boosted and a rainbow appears.
Fire Pledge	Fire	Special	80	100%	10	A column of fire hits the target. When used with its grass counterpart, this move's power is boosted and a vast sea of fire appears.
Grass Pledge	Grass	Special	80	100%	10	A column of grass hits the target. When used with its water counterpart, this move's power is boosted and a vast swamp appears.
Drill Run	Ground	Physical	80	95%	12	The user crashes into its target while rotating its body like a drill. Critical hits land more easily.
Fiery Dance	Fire	Special	80	100%	10	Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also boost the user's Sp. Atk stat.
Hyperspace Hole	Psychic	Special	80	—	5	Using a hyperspace hole, the user appears right next to the target and strikes. This attack can hit a target using a move such as Protect or Detect.
Dazzling Gleam	Fairy	Special	80	100%	12	The user damages opposing Pokémon by emitting a powerful flash.
Oblivion Wing	Flying	Special	80	100%	10	The user absorbs its target’s HP. The user’s HP is restored by over half of the damage taken by the target.
Spirit Shackle	Ghost	Physical	80	100%	10	The user attacks while simultaneously stitching the target's shadow to the ground to prevent the target from fleeing.
Throat Chop	Dark	Physical	80	100%	15	The user attacks the target's throat, and the resultant suffering prevents the target from using sound-based moves for two turns.
Anchor Shot	Steel	Physical	80	100%	20	The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.
Lunge	Bug	Physical	80	100%	16	The user makes a lunge at the target, attacking with full force. This also lowers the target’s Attack stat.
Fire Lash	Fire	Physical	80	100%	15	The user strikes the target with a burning lash. This also lowers the target's Defense stat.
Zing Zap	Electric	Physical	80	100%	10	The user crashes into the target, delivering a powerful electric shock. This may also make the target flinch.
Zippy Zap	Electric	Physical	80	100%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Glitzy Glow	Psychic	Special	80	95%	15	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Baddy Bad	Dark	Special	80	95%	15	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Snipe Shot	Water	Special	80	100%	15	The user ignores the effects of opposing Pokémon's moves and Abilities that draw in moves, allowing this move to hit the chosen target.
Jaw Lock	Dark	Physical	80	100%	10	This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.
Body Press	Fighting	Physical	80	100%	12	The user attacks by slamming its body into the target. The higher the user’s Defense, the more damage it can inflict on the target.
Drum Beating	Grass	Physical	80	100%	10	The user plays its drum, controlling the drum's roots to attack the target. This also lowers the target's Speed stat.
Overdrive	Electric	Special	80	100%	10	The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration.
Apple Acid	Grass	Special	80	100%	10	The user attacks the target with an acidic liquid created from tart apples. This also lowers the target's Sp. Def stat.
Grav Apple	Grass	Physical	80	100%	12	The user inflicts damage by dropping an apple from high above. This also lowers the target’s Defense stat.
False Surrender	Dark	Physical	80	—	10	The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses.
Expanding Force	Psychic	Special	80	100%	10	The user attacks the target with its psychic power. When the ground is Psychic Terrain, this move's power is boosted and it damages all opposing Pokémon.
Thunder Cage	Electric	Special	80	90%	15	The user traps the target inside a cage of sparking electricity that inflicts damage for four to five turns.
Eerie Spell	Psychic	Special	80	100%	5	The user attacks with its tremendous psychic power. This also drains 3 PP from the move last used by the target.
Dire Claw	Poison	Physical	80	100%	15	The user lashes out at the target with ruinous claws. This may also leave the target poisoned, paralyzed, or asleep.
Esper Wing	Psychic	Special	80	100%	10	The user slashes the target with aura-enriched wings. This also boosts the user's Speed stat. This move has a heightened chance of landing a critical hit.
Tera Blast	Normal	Special	80	100%	10	If the user has Terastallized, it unleashes energy of its Tera Type. This move inflicts damage using the Attack or Sp. Atk stat—whichever is higher for the user.
Lumina Crash	Psychic	Special	80	100%	10	The user attacks by unleashing a peculiar light that even affects the mind. This also harshly lowers the target's Sp. Def stat.
Order Up	Dragon	Physical	80	100%	10	The user attacks with elegant poise. If the user has a Tatsugiri in its mouth, this move boosts one of the user's stats based on the Tatsugiri's form.
Ice Spinner	Ice	Physical	80	100%	16	The user covers its feet in thin ice and twirls around, slamming into the target. This move's spinning motion also destroys the terrain.
Torch Song	Fire	Special	80	100%	10	The user blows out raging flames as if singing a song, scorching the target. This also boosts the user's Sp. Atk stat.
Aqua Step	Water	Physical	80	100%	10	The user toys with the target and attacks it using light and fluid dance steps. This also boosts the user's Speed stat.
Psyblade	Psychic	Physical	80	100%	15	The user rends the target with an ethereal blade. This move's power is boosted by 50 percent if the user is on Electric Terrain.
Hydro Steam	Water	Special	80	100%	15	The user blasts the target with boiling-hot water. This move's power is not lowered in harsh sunlight but rather boosted by 50 percent.
Blazing Torque	Fire	Physical	80	100%	10	—
Wicked Torque	Dark	Physical	80	100%	10	—
Matcha Gotcha	Grass	Special	80	90%	15	The user fires a blast of tea that it mixed. The user's HP is restored by up to half the damage taken by the target. This may also leave the target with a burn.
Fickle Beam	Dragon	Special	80	100%	5	The user shoots a beam of light to inflict damage. Sometimes all the user's heads shoot beams in unison, doubling the move's power.
Alluring Voice	Fairy	Special	80	100%	10	The user attacks the target using its angelic voice. This also confuses the target if its stats have been boosted during the turn.
Fire Punch	Fire	Physical	75	100%	16	The target is punched with a fiery fist. This may also leave the target with a burn.
Ice Punch	Ice	Physical	75	100%	16	The target is punched with an icy fist. This may also leave the target frozen.
Thunder Punch	Electric	Physical	75	100%	16	The target is punched with an electrified fist. This may also leave the target with paralysis.
Rock Slide	Rock	Physical	75	90%	12	Large boulders are hurled at opposing Pokémon to inflict damage. This may also make the opposing Pokémon flinch.
Giga Drain	Grass	Special	75	100%	12	A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Brick Break	Fighting	Physical	75	100%	16	The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect.
Crush Claw	Normal	Physical	75	95%	10	The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat.
Signal Beam	Bug	Special	75	100%	16	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Air Slash	Flying	Special	75	95%	16	The user attacks with a blade of air that slices even the sky. This may also make the target flinch.
Drain Punch	Fighting	Physical	75	100%	12	An energy-draining punch. The user’s HP is restored by half the damage taken by the target.
Horn Leech	Grass	Physical	75	100%	10	The user drains the target's energy with its horns. The user's HP is restored by up to half the damage taken by the target.
Razor Shell	Water	Physical	75	95%	10	The user cuts the target with sharp shells to inflict damage. This may also lower the target's Defense stat.
Relic Song	Normal	Special	75	100%	10	The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.
Mystical Fire	Fire	Special	75	100%	10	The user attacks by breathing a special, hot fire. This also lowers the target's Sp. Atk stat.
Stomping Tantrum	Ground	Physical	75	100%	10	Driven by frustration, the user attacks the target. This move's power is doubled if the user's previous move failed.
Spirit Break	Fairy	Physical	75	100%	16	The user attacks the target with so much force that it could break the target’s spirit. This also lowers the target’s Sp. Atk stat.
Lash Out	Dark	Physical	75	100%	5	The user lashes out to vent its frustration toward the target. This move's power is doubled if the user's stats were lowered during this turn.
Wicked Blow	Dark	Physical	75	100%	5	The user, having mastered the Dark style, strikes the target with a fierce blow. This move always lands a critical hit.
Bitter Malice	Ghost	Special	75	100%	10	The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat.
Temper Flare	Fire	Physical	75	100%	10	Spurred by desperation, the user attacks the target. This move's power is doubled if the user's previous move failed.
Psychic Noise	Psychic	Special	75	100%	10	The user attacks the target with unpleasant sound waves. For two turns, the target is prevented from recovering HP through moves, Abilities, or held items.
Headbutt	Normal	Physical	70	100%	16	The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.
Dizzy Punch	Normal	Physical	70	100%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Slash	Normal	Physical	70	100%	20	The target is attacked with a slash of claws or blades. Critical hits land more easily.
Steel Wing	Steel	Physical	70	90%	20	The target is hit with wings of steel. This may also raise the user’s Defense stat.
Vital Throw	Fighting	Physical	70	—	10	The user attacks last. In return, this throw move never misses.
Facade	Normal	Physical	70	100%	20	This attack move doubles its power if the user is poisoned, burned, or paralyzed.
Smelling Salts	Normal	Physical	70	100%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Secret Power	Normal	Physical	70	100%	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Wake-Up Slap	Fighting	Physical	70	100%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
U-turn	Bug	Physical	70	100%	20	After making its attack, the user rushes back to switch places with a party Pokémon in waiting.
Sucker Punch	Dark	Physical	70	100%	8	This move enables the user to attack first. This move fails if the target is not readying an attack.
Night Slash	Dark	Physical	70	100%	16	The user slashes the target the instant an opportunity arises. Critical hits land more easily.
Shadow Claw	Ghost	Physical	70	100%	16	The user slashes with a sharp claw made from shadows. Critical hits land more easily.
Psycho Cut	Psychic	Physical	70	100%	20	The user tears at the target with blades formed by psychic power. This move has a heightened chance of landing a critical hit.
Cross Poison	Poison	Physical	70	100%	20	A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.
Flame Burst	Fire	Special	70	100%	15	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Chip Away	Normal	Physical	70	100%	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Retaliate	Normal	Physical	70	100%	5	The user takes revenge for a fainted ally. This move's power is boosted if an ally fainted in the previous turn.
Volt Switch	Electric	Special	70	100%	20	After making its attack, the user rushes back to switch places with a party Pokémon in waiting.
Freeze-Dry	Ice	Special	70	100%	20	The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.
Smart Strike	Steel	Physical	70	—	12	The user stabs the target with a sharp horn. This attack never misses.
Trop Kick	Grass	Physical	70	100%	15	The user lands an intense kick of tropical origins on the target. This also lowers the target's Attack stat.
Rising Voltage	Electric	Special	70	100%	20	The user attacks with electricity rising from the ground. This move's power is doubled if the target is on Electric Terrain.
Skitter Smack	Bug	Physical	70	90%	10	The user skitters behind the target to attack. This also lowers the target's Sp. Atk stat.
Burning Jealousy	Fire	Special	70	100%	5	The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.
Scorching Sands	Ground	Special	70	100%	10	The user throws scorching sand at the target to attack. This may also leave the target with a burn.
Psyshield Bash	Psychic	Physical	70	90%	10	Cloaking itself in psychic energy, the user slams into the target. This also boosts the user’s Defense stat.
Mystical Power	Psychic	Special	70	90%	10	The user attacks by emitting a mysterious power. This also boosts the user’s Sp. Atk stat.
Flower Trick	Grass	Physical	70	—	10	The user throws a rigged bouquet of flowers at the target. This attack never misses and always lands a critical hit.
Aqua Cutter	Water	Physical	70	100%	20	The user expels pressurized water to cut at the target like a blade. This move has a heightened chance of landing a critical hit.
Thunderclap	Electric	Special	70	100%	5	This move enables the user to attack first with a jolt of electricity. This move fails if the target is not readying an attack.
Stomp	Normal	Physical	65	100%	20	The target is stomped with a big foot. This may also make the target flinch.
Horn Attack	Normal	Physical	65	100%	20	The target is jabbed with a sharply pointed horn to inflict damage.
Psybeam	Psychic	Special	65	100%	20	The target is attacked with a peculiar ray. This may also leave the target confused.
Bubble Beam	Water	Special	65	100%	20	A spray of bubbles is forcefully ejected at the target. This may also lower the target’s Speed stat.
Aurora Beam	Ice	Special	65	100%	20	The target is hit with a rainbow-colored beam. This may also lower the target’s Attack stat.
Sludge	Poison	Special	65	100%	20	Unsanitary sludge is hurled at the target. This may also poison the target.
Bone Club	Ground	Physical	65	85%	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Octazooka	Water	Special	65	85%	10	The user attacks by spraying ink in the target’s face or eyes. This may also lower the target’s accuracy.
Spark	Electric	Physical	65	100%	20	The user throws an electrically charged tackle at the target. This may also leave the target with paralysis.
Knock Off	Dark	Physical	65	100%	20	The user slaps down the target’s held item, and that item can’t be used in that battle. The move does more damage if the target has a held item.
Brine	Water	Special	65	100%	12	If the target’s HP is half or less, this attack will hit with double the power.
Thunder Fang	Electric	Physical	65	95%	16	The user bites with electrified fangs. This may also make the target flinch or leave it with paralysis.
Ice Fang	Ice	Physical	65	95%	16	The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.
Fire Fang	Fire	Physical	65	95%	16	The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.
Mud Bomb	Ground	Special	65	85%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Mirror Shot	Steel	Special	65	85%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Chatter	Flying	Special	65	100%	20	The user attacks the target with sound waves of deafening chatter. This confuses the target.
Venoshock	Poison	Special	65	100%	12	The user drenches the target in a special poisonous liquid. This move’s power is doubled if the target is poisoned.
Low Sweep	Fighting	Physical	65	100%	20	The user makes a swift attack on the target’s legs, which lowers the target’s Speed stat.
Hex	Ghost	Special	65	100%	12	This relentless attack does massive damage to a target affected by status conditions.
Leaf Tornado	Grass	Special	65	90%	12	The user attacks its target by encircling it in sharp leaves. This attack may also lower the target’s accuracy.
Steamroller	Bug	Physical	65	100%	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Glaciate	Ice	Special	65	95%	10	The user attacks by blowing freezing cold air at opposing Pokémon. This also lowers their Speed stats.
Parabolic Charge	Electric	Special	65	100%	20	The user attacks everything around it. The user's HP is restored by half the damage taken by those hit.
Stone Axe	Rock	Physical	65	90%	15	The user swings its stone axes at the target. Stone splinters left behind by this attack float around the target.
Ceaseless Edge	Dark	Physical	65	90%	15	The user slashes its shell blade at the target. Shell splinters left behind by this attack remain scattered under the target as spikes.
Upper Hand	Fighting	Physical	65	100%	15	The user reacts to the target's movement and strikes with the heel of its palm, making the target flinch. This move fails if the target is not readying a priority move.
Wing Attack	Flying	Physical	60	100%	20	The target is struck with large, imposing wings spread wide to inflict damage.
Rolling Kick	Fighting	Physical	60	85%	15	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Bite	Dark	Physical	60	100%	20	The target is bitten with viciously sharp fangs. This may also make the target flinch.
Swift	Normal	Special	60	—	20	Star-shaped rays are shot at opposing Pokémon. This attack never misses.
Thief	Dark	Physical	60	100%	20	The user attacks and steals the target’s held item simultaneously. The user can’t steal anything if it already holds an item.
Flame Wheel	Fire	Physical	60	100%	20	The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.
Feint Attack	Dark	Physical	60	—	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Dragon Breath	Dragon	Special	60	100%	20	The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.
Hidden Power	Normal	Special	60	100%	15	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Ancient Power	Rock	Special	60	100%	8	The user attacks with a prehistoric power. This may also raise all the user’s stats at once.
Revenge	Fighting	Physical	60	100%	10	This attack move’s power is doubled if the user has been hurt by the opponent in the same turn.
Needle Arm	Grass	Physical	60	100%	15	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Air Cutter	Flying	Special	60	95%	20	The user launches razor-like wind to slash opposing Pokémon. Critical hits land more easily.
Rock Tomb	Rock	Physical	60	95%	16	Boulders are hurled at the target. This also lowers the target’s Speed stat by preventing its movement.
Silver Wind	Bug	Special	60	100%	8	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Shadow Punch	Ghost	Physical	60	—	20	The user throws a punch from the shadows. This attack never misses.
Aerial Ace	Flying	Physical	60	—	20	The user confounds the target with speed, then slashes. This attack never misses.
Covet	Normal	Physical	60	100%	25	The user endearingly approaches the target, then steals the target's held item.
Magical Leaf	Grass	Special	60	—	20	The user scatters curious leaves that chase the target. This attack never misses.
Shock Wave	Electric	Special	60	—	20	The user strikes the target with a quick jolt of electricity. This attack never misses.
Water Pulse	Water	Special	60	100%	20	The user attacks the target with a pulsing blast of water. This may also confuse the target.
Pluck	Flying	Physical	60	100%	20	The user attacks by pecking the target. If the target is holding a Berry, the user eats it and gains its effect.
Assurance	Dark	Physical	60	100%	10	This move's power is doubled if the target has already taken some damage in the same turn.
Force Palm	Fighting	Physical	60	100%	10	The target is attacked with a shock wave. This may also leave the target with paralysis.
Avalanche	Ice	Physical	60	100%	12	The power of this attack move is doubled if the user has been hurt by the target in the same turn.
Magnet Bomb	Steel	Physical	60	—	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Bug Bite	Bug	Physical	60	100%	20	The user bites the target. If the target is holding a Berry, the user eats it and gains its effect.
Ominous Wind	Ghost	Special	60	100%	5	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Storm Throw	Fighting	Physical	60	100%	10	The user strikes the target with a fierce blow. This attack always results in a critical hit.
Round	Normal	Special	60	100%	15	The user attacks the target with a song. If others use this move, they will act immediately after the initial user, and the power of their Rounds will be boosted.
Sky Drop	Flying	Physical	60	100%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Circle Throw	Fighting	Physical	60	90%	10	The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.
Incinerate	Fire	Special	60	100%	15	The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable.
Bulldoze	Ground	Physical	60	100%	20	The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.
Frost Breath	Ice	Special	60	90%	10	The user attacks by blowing its cold breath on the target. This move always lands a critical hit.
Dragon Tail	Dragon	Physical	60	90%	12	The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.
Heart Stamp	Psychic	Physical	60	100%	25	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Brutal Swing	Dark	Physical	60	100%	20	The user swings its body around violently to inflict damage on everything in its vicinity.
Bouncy Bubble	Water	Special	60	100%	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Buzzy Buzz	Electric	Special	60	100%	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Sizzly Slide	Fire	Physical	60	100%	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Double Iron Bash	Steel	Physical	60	100%	5	The user rotates, centering the hex nut in its chest, and then strikes with its arms twice in a row. This may also make the target flinch.
Breaking Swipe	Dragon	Physical	60	100%	15	The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.
Flip Turn	Water	Physical	60	100%	20	After making its attack, the user rushes back to switch places with a party Pokémon in waiting.
Barb Barrage	Poison	Physical	60	100%	10	The user launches countless toxic barbs to inflict damage. This may also poison the target. This move’s power is doubled if the target is already poisoned.
Infernal Parade	Ghost	Special	60	100%	15	The user attacks with myriad fireballs. This may also leave the target with a burn. This move's power is doubled if the target has a status condition.
Jet Punch	Water	Physical	60	100%	15	The user summons a torrent around its fist and punches at blinding speed. This move always goes first.
Syrup Bomb	Grass	Special	60	85%	10	The user sets off an explosion of sticky candy syrup, which coats the target and causes the target's Speed stat to drop each turn for three turns.
Vise Grip	Normal	Physical	55	100%	30	The target is gripped and squeezed from both sides to inflict damage.
Razor Leaf	Grass	Physical	55	95%	20	Sharp-edged leaves are launched to slash at opposing Pokémon. Critical hits land more easily.
Icy Wind	Ice	Special	55	95%	16	The user attacks with a gust of chilled air. This also lowers opposing Pokémon’s Speed stats.
Mud Shot	Ground	Special	55	95%	16	The user attacks by hurling a blob of mud at the target. This also lowers the target’s Speed stat.
Acrobatics	Flying	Physical	55	100%	16	The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.
Electroweb	Electric	Special	55	95%	15	The user captures opposing Pokémon in an electric net to inflict damage. This also lowers their Speed stats.
Snarl	Dark	Special	55	95%	16	The user yells as if it’s ranting about something, which lowers the Sp. Atk stats of opposing Pokémon.
Grassy Glide	Grass	Physical	55	100%	20	Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain.
Karate Chop	Fighting	Physical	50	100%	25	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Cut	Normal	Physical	50	95%	30	The target is cut with a scythe or claw.
Rock Throw	Rock	Physical	50	90%	16	The user picks up and throws a small rock at the target to attack.
Confusion	Psychic	Special	50	100%	20	The target is hit by a weak telekinetic force. This may also confuse the target.
Bonemerang	Ground	Physical	50	90%	10	The user throws the bone it holds. The bone loops around to hit the target twice—coming and going.
Struggle	Normal	Physical	50	—	1	This attack is used in desperation only if the user has no PP. It also damages the user a little.
Snore	Normal	Special	50	100%	16	This attack can be used only if the user is asleep. The harsh noise may also make the target flinch.
Rapid Spin	Normal	Physical	50	100%	20	A spin attack that can also eliminate such moves as Bind, Wrap, and Leech Seed. This also raises the user’s Speed stat.
Metal Claw	Steel	Physical	50	95%	20	The target is raked with steel claws. This may also raise the user’s Attack stat.
Poison Fang	Poison	Physical	50	100%	16	The user bites the target with toxic fangs. This may also leave the target badly poisoned.
Weather Ball	Normal	Special	50	100%	12	This attack move varies in power and type depending on the weather.
Poison Tail	Poison	Physical	50	100%	25	The user hits the target with its tail. This move has a heightened chance of landing a critical hit and may also poison the target.
Payback	Dark	Physical	50	100%	10	The user stores power, then attacks. This move's power is doubled if the user moves after the target.
Charge Beam	Electric	Special	50	90%	12	The user attacks the target with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.
Smack Down	Rock	Physical	50	100%	15	The user throws a stone or similar projectile to attack the target. If the target is in the air, it will be knocked down to the ground.
Flame Charge	Fire	Physical	50	100%	20	Cloaking itself in flame, the user attacks the target. Then, building up more power, the user raises its Speed stat.
Clear Smog	Poison	Special	50	—	15	The user attacks the target by throwing a clump of special mud. All stat changes are eliminated.
Struggle Bug	Bug	Special	50	100%	20	The user attacks by struggling against opposing Pokémon. This also lowers their Sp. Atk stats.
Gear Grind	Steel	Physical	50	85%	15	The user attacks by throwing steel gears at its target twice.
Fell Stinger	Bug	Physical	50	100%	25	When the user knocks out a target with this move, the user's Attack stat is boosted drastically.
Draining Kiss	Fairy	Special	50	100%	12	The user steals the target’s HP with a kiss. The user’s HP is restored by over half of the damage taken by the target.
Dragon Darts	Dragon	Physical	50	100%	10	The user attacks twice using Dreepy. If there are two opposing Pokémon, this move hits each of them once.
Terrain Pulse	Normal	Special	50	100%	10	The user utilizes the energy of the terrain to attack. This move’s type and power change depending on the terrain at the time the move is used.
Last Respects	Ghost	Physical	50	100%	10	The user attacks to avenge its allies. The more defeated allies there are in the user's party, the greater the move's power.
Pounce	Bug	Physical	50	100%	20	The user attacks by pouncing on the target. This also lowers the target's Speed stat.
Trailblaze	Grass	Physical	50	100%	20	The user attacks suddenly as if leaping out from tall grass. The user's nimble footwork boosts its Speed stat.
Chilling Water	Water	Special	50	100%	20	The user attacks the target by showering it with water that's so cold it saps the target's power. This also lowers the target's Attack stat.
Rage Fist	Ghost	Physical	50	100%	10	The user converts its rage into energy to attack. The more times the user has been hit by attacks, the greater the move's power.
Tachyon Cutter	Steel	Special	50	0%	10	The user attacks by launching particle blades at the target twice in a row. This attack never misses.
Vine Whip	Grass	Physical	45	100%	20	The target is struck with slender, whiplike vines to inflict damage.
Pound	Normal	Physical	40	100%	20	The target is physically pounded with a long tail, a foreleg, or the like.
Pay Day	Normal	Physical	40	100%	20	Coins are hurled at the target to inflict damage. Money is earned after the battle.
Scratch	Normal	Physical	40	100%	20	Hard, pointed, sharp claws rake the target to inflict damage.
Gust	Flying	Special	40	100%	20	A gust of wind is whipped up by wings and launched at the target to inflict damage.
Tackle	Normal	Physical	40	100%	20	A physical attack in which the user charges and slams into the target with its whole body.
Acid	Poison	Special	40	100%	30	Opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.
Ember	Fire	Special	40	100%	20	The target is attacked with small flames. This may also leave the target with a burn.
Water Gun	Water	Special	40	100%	20	The target is blasted with a forceful shot of water.
Mega Drain	Grass	Special	40	100%	16	A nutrient-draining attack. The user’s HP is restored by half the damage taken by the target.
Thunder Shock	Electric	Special	40	100%	20	A jolt of electricity crashes down on the target to inflict damage. This may also leave the target with paralysis.
Quick Attack	Normal	Physical	40	100%	20	The user lunges at the target at a speed that makes it almost invisible. This move always goes first.
Bubble	Water	Special	40	100%	30	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Powder Snow	Ice	Special	40	100%	20	The user attacks with a chilling gust of powdery snow. This may also freeze opposing Pokémon.
Mach Punch	Fighting	Physical	40	100%	20	The user throws a punch at blinding speed. This move always goes first.
False Swipe	Normal	Physical	40	100%	40	A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.
Fury Cutter	Bug	Physical	40	95%	20	The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.
Pursuit	Dark	Physical	40	100%	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Twister	Dragon	Special	40	100%	20	The user whips up a vicious tornado to tear at opposing Pokémon. This may also make them flinch.
Rock Smash	Fighting	Physical	40	100%	15	The user attacks with a punch. This may also lower the target's Defense stat.
Fake Out	Normal	Physical	40	100%	12	This attack hits first and makes the target flinch. It only works the first turn each time the user enters battle.
Vacuum Wave	Fighting	Special	40	100%	30	The user whirls its fists to send a wave of pure vacuum at the target. This move always goes first.
Bullet Punch	Steel	Physical	40	100%	20	The user strikes the target with tough punches as fast as bullets. This move always goes first.
Ice Shard	Ice	Physical	40	100%	20	The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.
